Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1756921511,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1756921512,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1756921513,10,,Aggregated,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,10,0,480.0,787.733356400031,464.50412000012875,1114.7740330002307,9455.0
1756921514,15,,Aggregated,0.000000,0.000000,330,470,480,1100,1100,1100,1100,1100,1100,1100,1100,25,0,330.0,442.5602108000021,63.610666999920795,1114.7740330002307,11393.72
1756921515,20,,Aggregated,0.000000,0.000000,190,260,460,470,1100,1100,1100,1100,1100,1100,1100,46,0,160.0,300.0064704565474,54.311609999786015,1114.7740330002307,10783.934782608696
1756921516,25,,Aggregated,3.333333,0.000000,140,210,230,300,470,1100,1100,1100,1100,1100,1100,71,0,140.0,240.21640074649864,54.311609999786015,1114.7740330002307,11356.422535211268
1756921517,30,,Aggregated,6.250000,0.000000,130,190,230,270,470,1100,1100,1100,1100,1100,1100,96,0,130.0,216.16858029168404,54.311609999786015,1114.7740330002307,10660.135416666666
1756921518,35,,Aggregated,9.400000,0.000000,120,150,220,230,430,480,1100,1100,1100,1100,1100,131,0,120.0,192.83297922138027,54.311609999786015,1114.7740330002307,9897.93893129771
1756921520,40,,Aggregated,12.000000,0.000000,110,140,190,220,300,470,1100,1100,1100,1100,1100,174,0,110.0,169.2197617988538,54.311609999786015,1114.7740330002307,10657.431034482759
1756921521,45,,Aggregated,16.375000,0.000000,110,140,160,210,280,470,1100,1100,1100,1100,1100,218,0,110.0,159.00112238533035,54.311609999786015,1114.7740330002307,10780.183486238531
1756921522,50,,Aggregated,16.375000,0.000000,110,130,160,200,260,460,510,1100,1100,1100,1100,260,0,110.0,152.42418093078138,54.311609999786015,1114.7740330002307,10958.846153846154
1756921523,55,,Aggregated,21.700000,0.000000,100,130,150,190,260,340,480,1100,1100,1100,1100,311,0,100.0,147.4768823215624,53.688841000166576,1114.7740330002307,10861.909967845659
1756921524,60,,Aggregated,26.000000,0.000000,100,130,150,180,260,350,480,1100,1100,1100,1100,373,0,100.0,142.77681580966626,50.92127999978402,1114.7740330002307,10957.034852546916
1756921525,65,,Aggregated,30.700000,0.000000,100,130,150,170,240,330,480,1100,1100,1100,1100,439,0,100.0,138.6032016674352,50.92127999978402,1114.7740330002307,11084.580865603644
1756921526,70,,Aggregated,35.900000,0.000000,100,130,140,170,230,300,470,790,1100,1100,1100,505,0,100.0,135.52185297822598,49.112090000107855,1114.7740330002307,11132.762376237624
1756921527,75,,Aggregated,40.900000,0.000000,98,120,140,160,230,290,470,790,1100,1100,1100,574,0,98,130.63040336063736,49.02172099991731,1114.7740330002307,10904.566202090593
1756921530,80,,Aggregated,49.400000,0.000000,98,120,140,160,220,290,470,510,1100,1100,1100,645,0,98,128.33577520931115,49.02172099991731,1114.7740330002307,10947.221705426356
1756921531,85,,Aggregated,49.600000,0.000000,95,120,130,150,220,280,460,490,1100,1100,1100,731,0,95,124.85389833106099,49.02172099991731,1114.7740330002307,10774.537619699042
