Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1756877002,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1756877003,1,,Aggregated,0.000000,0.000000,800,800,800,800,800,800,800,800,800,800,800,1,0,799.6506050003518,799.6506050003518,799.6506050003518,799.6506050003518,233.0
1756877004,2,,Aggregated,0.000000,0.000000,800,800,800,800,800,800,800,800,800,800,800,2,0,500.8959419992607,650.2732734998062,500.8959419992607,799.6506050003518,10212.0
1756877005,3,,Aggregated,0.000000,0.000000,500,600,600,800,800,800,800,800,800,800,800,5,0,500.0,472.67234719984117,153.64719499848434,799.6506050003518,12927.0
1756877006,4,,Aggregated,0.500000,0.000000,500,510,600,600,800,800,800,800,800,800,800,7,0,500.0,448.13894928587877,153.64719499848434,799.6506050003518,13584.0
1756877007,5,,Aggregated,1.000000,0.000000,300,300,510,510,600,800,800,800,800,800,800,12,0,270.0,353.0483225002475,121.95400000018708,799.6506050003518,11243.0
1756877008,6,,Aggregated,1.250000,0.000000,270,300,330,500,600,800,800,800,800,800,800,18,0,240.0,304.44790677807356,121.95400000018708,799.6506050003518,13107.833333333334
1756877009,7,,Aggregated,2.200000,0.000000,240,270,300,330,510,600,800,800,800,800,800,23,0,240.0,285.22150904380237,121.95400000018708,799.6506050003518,12480.478260869566
1756877010,8,,Aggregated,2.166667,0.000000,240,270,300,330,500,600,800,800,800,800,800,33,0,240.0,269.4504520911847,121.95400000018708,799.6506050003518,11721.121212121212
1756877011,9,,Aggregated,3.000000,0.000000,230,270,300,330,500,600,800,800,800,800,800,40,0,230.0,254.79933052529304,92.31923900006223,799.6506050003518,11699.725
1756877012,10,,Aggregated,3.250000,0.000000,220,250,280,300,380,510,800,800,800,800,800,48,0,200.0,240.31627162522304,92.31923900006223,799.6506050003518,12733.0
1756877013,11,,Aggregated,3.666667,0.000000,200,250,270,290,360,510,600,800,800,800,800,58,0,200.0,231.12469629324613,92.31923900006223,799.6506050003518,11672.0
1756877014,12,,Aggregated,4.200000,0.000000,210,260,290,310,360,500,600,800,800,800,800,67,0,210.0,235.90396001502575,92.31923900006223,799.6506050003518,11976.253731343284
1756877015,13,,Aggregated,5.100000,0.000000,200,240,270,300,360,500,600,800,800,800,800,79,0,200.0,230.6814426076615,92.31923900006223,799.6506050003518,11640.73417721519
1756877016,14,,Aggregated,5.800000,0.000000,190,240,270,290,350,480,600,800,800,800,800,91,0,190.0,227.08908972538836,92.31923900006223,799.6506050003518,11625.604395604396
1756877017,15,,Aggregated,6.700000,0.000000,180,230,270,280,350,390,510,600,800,800,800,103,0,180.0,220.1907860972356,80.99556700108224,799.6506050003518,11273.31067961165
1756877018,16,,Aggregated,7.700000,0.000000,180,230,260,270,350,390,510,600,800,800,800,119,0,180.0,217.61947057155552,80.99556700108224,799.6506050003518,10928.529411764706
1756877019,17,,Aggregated,8.300000,0.000000,190,230,260,270,340,390,510,600,800,800,800,131,0,190.0,217.35752337417927,80.99556700108224,799.6506050003518,11147.465648854963
1756877020,18,,Aggregated,9.400000,0.000000,190,230,260,270,340,390,510,600,800,800,800,148,0,190.0,215.99471983119804,80.99556700108224,799.6506050003518,11223.68918918919
1756877021,19,,Aggregated,10.000000,0.000000,190,220,260,270,340,390,500,600,800,800,800,160,0,190.0,212.97786086259975,80.99556700108224,799.6506050003518,11030.0375
1756877022,20,,Aggregated,10.900000,0.000000,190,220,250,270,330,380,500,600,800,800,800,177,0,190.0,212.82701751422246,80.99556700108224,799.6506050003518,10739.338983050848
1756877023,21,,Aggregated,11.900000,0.000000,190,220,250,270,330,360,500,600,800,800,800,199,0,190.0,211.26539066843443,80.99556700108224,799.6506050003518,10678.798994974873
1756877024,22,,Aggregated,12.300000,0.000000,190,220,250,260,310,360,480,510,800,800,800,219,0,190.0,209.03695715535264,80.99556700108224,799.6506050003518,10871.502283105023
